# provenance: 
label,area_px,centroid_y,centroid_x,equivalent_diameter_px,eccentricity,mean_intensity,bbox_y0,bbox_x0,bbox_y1,bbox_x1,touches_edge,source
1,169,32.89940828402367,546.2248520710059,14.668929172241665,0.7411491665203991,0.2495770367792087,28,538,41,555,False,/Users/samgreenberg/Documents/Blenny/example_plates/PXL_20251002_031623931.jpg
2,19,35.526315789473685,428.57894736842104,4.918490759365935,0.8595176326245355,0.24575149638802893,33,427,39,432,False,/Users/samgreenberg/Documents/Blenny/example_plates/PXL_20251002_031623931.jpg
3,97,38.402061855670105,608.9175257731958,11.11324596323283,0.9872398806396218,0.14787940570042452,34,596,43,622,False,/Users/samgreenberg/Documents/Blenny/example_plates/PXL_20251002_031623931.jpg
4,136,40.705882352941174,412.9117647058824,13.159049284959082,0.7616592884727001,0.2709805046136102,35,405,48,421,False,/Users/samgreenberg/Documents/Blenny/example_plates/PXL_20251002_031623931.jpg
5,337,49.92284866468843,443.1216617210682,20.71428798138497,0.8382451759986214,0.27311913073834876,37,436,66,452,False,/Users/samgreenberg/Documents/Blenny/example_plates/PXL_20251002_031623931.jpg
6,20,47.1,379.2,5.046265044040321,0.6347972366759238,0.3007033529411765,45,377,51,382,False,/Users/samgreenberg/Documents/Blenny/example_plates/PXL_20251002_031623931.jpg
7,376,60.63563829787234,651.6117021276596,21.880083839428522,0.88552568064161,0.2661388350020859,47,644,78,665,False,/Users/samgreenberg/Documents/Blenny/example_plates/PXL_20251002_031623931.jpg
8,24,58.5,601.0,5.527906391541368,0.9265556137273305,0.11409372549019615,57,597,61,606,False,/Users/samgreenberg/Documents/Blenny/example_plates/PXL_20251002_031623931.jpg
9,133,64.75187969924812,629.6015037593985,13.013103375051497,0.8072380279672262,0.2660275895621406,60,623,71,640,False,/Users/samgreenberg/Documents/Blenny/example_plates/PXL_20251002_031623931.jpg
10,18,69.27777777777777,459.5,4.787307364817192,0.8305740668661518,0.11495775599128542,67,457,73,463,False,/Users/samgreenberg/Documents/Blenny/example_plates/PXL_20251002_031623931.jpg
11,16,70.375,545.375,4.51351666838205,0.7071067811865476,0.10153338235294114,68,543,73,548,False,/Users/samgreenberg/Documents/Blenny/example_plates/PXL_20251002_031623931.jpg
12,11,72.63636363636364,500.0,3.742410318509555,0.8193342786072867,0.16911172905525837,71,498,75,503,False,/Users/samgreenberg/Documents/Blenny/example_plates/PXL_20251002_031623931.jpg
13,145,77.28965517241379,625.2896551724137,13.58748446131949,0.7315263480887307,0.2759598945233266,72,616,84,633,False,/Users/samgreenberg/Documents/Blenny/example_plates/PXL_20251002_031623931.jpg
14,19,74.94736842105263,719.578947368421,4.918490759365935,0.8189985410863564,0.17769267285861715,73,717,78,723,False,/Users/samgreenberg/Documents/Blenny/example_plates/PXL_20251002_031623931.jpg
15,8,75.0,507.5,3.1915382432114616,0.5773502691896258,0.18691249999999993,74,506,77,510,False,/Users/samgreenberg/Documents/Blenny/example_plates/PXL_20251002_031623931.jpg
